Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.23      7.69     0.02                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4024d0)
  0.23      7.71     0.02                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 4025dc)
  0.23      7.73     0.02                             _mm_loadu_si128 (emmintrin.h:685 @ 40200f)
  0.23      7.75     0.02                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 4025a7)
  0.23      7.77     0.02                             _mm_shuffle_pd (emmintrin.h:885 @ 402513)
  0.23      7.79     0.02                             _mm_slli_si128 (emmintrin.h:1155 @ 4021bf)
  0.23      7.81     0.02                             _mm_slli_si128 (emmintrin.h:1155 @ 402233)
  0.23      7.83     0.02                             _mm_xor_si128 (emmintrin.h:1251 @ 4021ad)
  0.23      7.85     0.02                             _mm_xor_si128 (emmintrin.h:1251 @ 4023a4)
  0.23      7.87     0.02                             _mm_xor_si128 (emmintrin.h:1251 @ 4023f2)
  0.23      7.89     0.02                             _mm_xor_si128 (emmintrin.h:1251 @ 4024d6)
  0.17      7.91     0.02                             AES_192_Key_Expansion (aes_key_expansion.c:98 @ 402462)
  0.17      7.92     0.02                             AES_Encrypt (aes_encryption.c:11 @ 40200c)
  0.17      7.94     0.02                             F64_mult_efficient (field_op.h:32 @ 400f89)
  0.17      7.95     0.02                             F64_mult_efficient (field_op.h:34 @ 400f8c)
  0.17      7.97     0.02                             STD_Post_Proc (hash.c:228 @ 401c16)
  0.17      7.98     0.02                             STD_Post_Proc (hash.c:241 @ 401c3d)
  0.17      8.00     0.02                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402388)
  0.17      8.01     0.02                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400f05)
  0.17      8.03     0.02                             _mm_xor_si128 (emmintrin.h:1251 @ 40238e)
  0.12      8.04     0.01                             AES_128_Key_Expansion (aes_key_expansion.c:20 @ 402101)
  0.12      8.05     0.01                             AES_128_Key_Expansion (aes_key_expansion.c:25 @ 40211a)
  0.12      8.06     0.01                             AES_192_Key_Expansion (aes_key_expansion.c:78 @ 402351)
  0.12      8.07     0.01                             AES_192_Key_Expansion (aes_key_expansion.c:122 @ 402369)
  0.12      8.08     0.01                             AES_Encrypt (aes_encryption.c:4 @ 402021)
  0.12      8.09     0.01                             F64_mult_efficient (field_op.h:42 @ 400fa8)
  0.12      8.10     0.01                             F64_mult_efficient (field_op.h:32 @ 401004)
  0.12      8.11     0.01                             F64_mult_efficient (field_op.h:38 @ 40102a)
  0.12      8.12     0.01                             F64_mult_efficient (field_op.h:28 @ 401068)
  0.12      8.13     0.01                             F64_mult_efficient (field_op.h:38 @ 4010a3)
  0.12      8.14     0.01                             F64_mult_efficient (field_op.h:30 @ 4010f1)
  0.12      8.15     0.01                             F64_mult_efficient (field_op.h:32 @ 4010f5)
  0.12      8.16     0.01                             F64_mult_efficient (field_op.h:38 @ 401114)
  0.12      8.17     0.01                             F64_mult_efficient (field_op.h:42 @ 401126)
  0.12      8.18     0.01                             F64_mult_efficient (field_op.h:38 @ 4012a6)
  0.12      8.19     0.01                             F64_mult_efficient (field_op.h:28 @ 4012f1)
  0.12      8.20     0.01                             F64_mult_efficient (field_op.h:32 @ 4012fd)
  0.12      8.21     0.01                             F64_mult_efficient (field_op.h:34 @ 40131c)
  0.12      8.22     0.01                             FIN_Post_Proc.omp_fn.4 (hash.c:255 @ 40136c)
  0.12      8.23     0.01                             STD_Pre_Proc (hash.c:179 @ 401a0a)
  0.12      8.24     0.01                             STD_Pre_Proc.omp_fn.3 (hash.c:186 @ 40122c)
  0.12      8.25     0.01                             STD_Pre_Proc.omp_fn.3 (hash.c:182 @ 40124b)
  0.12      8.26     0.01                             STD_Step (hash.c:336 @ 401b78)
  0.12      8.27     0.01                             STD_Step (hash.c:336 @ 401bd2)
  0.12      8.28     0.01                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402114)
  0.12      8.29     0.01                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 401172)
  0.12      8.30     0.01                             _mm_loadu_si128 (emmintrin.h:685 @ 4020fd)
  0.12      8.31     0.01                             _mm_loadu_si128 (emmintrin.h:685 @ 402360)
  0.12      8.32     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 40226b)
  0.12      8.33     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 40229e)
  0.12      8.34     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 4024a7)
  0.12      8.35     0.01                             _mm_shuffle_epi32 (emmintrin.h:1380 @ 4024df)
  0.12      8.36     0.01                             _mm_shuffle_pd (emmintrin.h:885 @ 4025a3)
  0.12      8.37     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402200)
  0.12      8.38     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402266)
  0.12      8.39     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402299)
  0.12      8.40     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 4023d0)
  0.12      8.41     0.01                             _mm_slli_si128 (emmintrin.h:1155 @ 402568)
  0.12      8.42     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 402213)
  0.12      8.43     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 4024e4)
  0.12      8.44     0.01                             _mm_xor_si128 (emmintrin.h:1251 @ 4024f5)
  0.12      8.45     0.01                             merkle_damgard (hash.c:419 @ 401fe0)
  0.06      8.45     0.01                             AES_128_Key_Expansion (aes_key_expansion.c:56 @ 402131)
  0.06      8.46     0.01                             AES_192_Key_Expansion (aes_key_expansion.c:89 @ 4023be)
  0.06      8.46     0.01                             AES_Encrypt (aes_encryption.c:11 @ 402013)
  0.06      8.47     0.01                             AES_Encrypt (aes_encryption.c:4 @ 40201b)
  0.06      8.47     0.01                             AES_Encrypt (aes_encryption.c:11 @ 40201e)
  0.06      8.48     0.01                             AES_Proc.omp_fn.1 (hash.c:92 @ 400e76)
  0.06      8.48     0.01                             AES_Proc.omp_fn.1 (hash.c:96 @ 400e80)
  0.06      8.49     0.01                             AES_Proc.omp_fn.1 (hash.c:106 @ 400ec0)
  0.06      8.49     0.01                             F64_mult_efficient (field_op.h:30 @ 400ff5)
  0.06      8.50     0.01                             F64_mult_efficient (field_op.h:29 @ 400ff8)
  0.06      8.50     0.01                             F64_mult_efficient (field_op.h:30 @ 40106e)
  0.06      8.51     0.01                             F64_mult_efficient (field_op.h:29 @ 401071)
  0.06      8.51     0.01                             F64_mult_efficient (field_op.h:30 @ 401079)
  0.06      8.52     0.01                             F64_mult_efficient (field_op.h:32 @ 40107d)
  0.06      8.52     0.01                             F64_mult_efficient (field_op.h:28 @ 4010e0)
  0.06      8.53     0.01                             F64_mult_efficient (field_op.h:36 @ 401222)
  0.06      8.53     0.01                             F64_mult_efficient (field_op.h:38 @ 401226)
  0.06      8.54     0.01                             F64_mult_efficient (field_op.h:32 @ 401280)
  0.06      8.54     0.01                             F64_mult_efficient (field_op.h:34 @ 401290)
  0.06      8.55     0.01                             F64_mult_efficient (field_op.h:35 @ 401293)
  0.06      8.55     0.01                             F64_mult_efficient (field_op.h:28 @ 4012e8)
  0.06      8.56     0.01                             F64_mult_efficient (field_op.h:29 @ 4012eb)
  0.06      8.56     0.01                             F64_mult_efficient (field_op.h:38 @ 40130a)
